title,tools,what,why,url,cost,audience
Polymath Project,Video:Video Sharing,"Dissemination is conducted in terms of text and video through public information blogs (Gowers 2009 & Terence Tao's Blog), the home page, wiki pages (Polymath Wiki page), the Q&A site MathOverflow (MathOverflow) and YouTube videos (Terence Tao’s videos),. There are papers available that describe the outcomes of the Polymath projects, which are uploaded to arXiv and are also submitted to the Journal of Mathematics of Computation or Nature (DHJ Polymath 2014, Tao et. al. 2012, and Gowers and Nielsen 2009).","Polymath projects, also known as massively collaborative online mathematics, represents a form of open Internet collaboration aimed towards a major mathematical goal, usually to solve yet unsolved mathematical problems.",https://www.openuphub.eu/component/k2/item/603-polymath-project,medium,researcher
Numberphile,Video:Video Sharing,Explains mathematical concepts and theory in short video sequences that are understandable by the general public,Explains mathematical concepts and theory in short video sequences that are understandable by the general public,http://www.numberphile.com/,medium,generalpublic
Minute Physics,Video:Video Sharing,Youtube channels explaining scientific content in a simplified and entertaining manner,This way to communicate science is very successful and enables kids and other interested audiences to understand complex contents in a pleasantful way,http://www.minutephysics.com/,medium,generalpublic
Pluto Fly-by,"Video:Live streaming, Video:Video Sharing","Different dissemination activities were conducted, such as a Twitter campaign, live streams, YouTube videos, and press, by disseminating text, video, data, software and simulations. Outputs of the dissemination activities were very rich and can be categorized into images, series of videos, live streams, simulation software, blogs, scientific data, reports and scientific articles. ","NASA's New Horizons probe has visited a place never before visited by a robotic probe from earth: Pluto. In July 2015, the spacecraft completed a nearly-decade-long journey to fly by Pluto, and revealed humanity's first close-up look at the distant dwarf planet (Dwarf planet). The goal of the dissemination was to communicate results of the mission and facts about Pluto to the broader audience.",https://www.openuphub.eu/component/k2/item/601-pluto-fly-by,high,"generalpublic, researcher"
Ice Bucket Challenge,Video:Video Sharing,An awareness campaign that went viral,,https://en.wikipedia.org/wiki/Ice_Bucket_Challenge,low,generalpublic
Gut Project,"Performance:Science Slam, Video:Video Sharing, Video:TV, Video:Interviews","One of the first dissemination activities were a number of science slams, in which Giulia Enders gave a talk about the gut. After the science slams and especially after publishing her book “Darm mit Charme” (translated into English, French and Italian) she gained a lot of popularity. She was invited to different TV shows and her story was covered by well-known newspapers. Her book readings were also very well visited.","The Gut project is a one-person project founded by Giulia Enders, with the aim to explain the functionality of a very complex organ, the gut, in a basic language that is understandable for the general audience. The project also wants to initiate discussions around this topic, which are usually avoided by people. As a PhD student in Medicine, Enders was fascinated with the functioning of the gut. So she decided to investigate and study this complex organ, the importance of which is usually underestimated. After her success in several science slams in 2012, she got an offer to write a book about the gut. Her book (published in March 2014) was a huge success, because of the way she explains the complex process of digestion. She presents facts in a simple way, understandable for the broader audience, and she uses a lot of humour at the same time.",https://www.openuphub.eu/component/k2/item/605-gut-giulia-enders,medium,generalpublic
Project Soha,Collaborative Research:Collaboration Platform,"Dissemination consists of several different activities ranging from YouTube videos, newsletters, and scientific events to online training courses, interviews and surveys. The dissemination objects are texts, data and video. The outputs are a network of emerging science shops, a dedicated blog, scientific publications and datasets. However the most important achievement is the consolidation of an international academic community, students, male and female researchers around the concept of cognitive justice.","The project ""Open Science in Haiti and Francophone Africa (SOHA)"" is part of the OCSD Network funded by the International Development Research Centre (IDRC). The project consists of action research, entitled “Open science as a collective tool for development of the power to act and of cognitive justice in Haiti and Francophone Africa: towards a roadmap”. The objective is twofold: to understand the obstacles to the emergence of an open science culture in Francophone Africa and Haiti while creating a favourable environment to achieve the goal of an open science culture. ",https://www.openuphub.eu/component/k2/item/606-project-soha,medium,"students, researcher"
TED,Video:Video Sharing,"nonprofit devoted to spreading ideas, usually in the form of short, powerful talks (18 minutes or less)",,https://www.ted.com/,medium,"students, generalpublic"
CollabLab,Video:Video Sharing,"Collab Lab brings science and film together. We help scientists make exciting public engagement videos and YouTubers talk about science with confidence.

We make videos and run video-making workshops.",,http://www.collab-lab.co.uk/,medium,"researchers, generalpublic"
Vsauce,Video:Video Sharing,Explains scientific content & responds to questions on how things of this world work,,http://www.vsauce.com/#/,medium,"generalpublic, students"
