id,title,readers,x,y,area,Tool,paper_abstract,published_in,year,url,file_hash,authors,oa_state
1,Polymath Project,1,2,1,Video,Video Sharing,This will describe the project/tool,,2017,https://www.openuphub.eu/component/k2/item/603-polymath-project,asdf123,,0
2,Numberphile,1,2,1,Video,Video Sharing,This will describe the project/tool,,2017,http://www.numberphile.com/,asdf124,,0
3,Minute Physics,1,2,1,Video,Video Sharing,This will describe the project/tool,,2017,http://www.minutephysics.com/,asdf125,,0
4,Pluto Fly-by,1,2,1,Video,"Live-Streaming, Video Sharing","NASA's New Horizons probe has visited a place never before visited by a robotic probe from earth: Pluto. In July 2015, the spacecraft completed a nearly-decade-long journey to fly by Pluto, and revealed humanity's first close-up look at the distant dwarf planet (Dwarf planet). The goal of the dissemination was to communicate results of the mission and facts about Pluto to the broader audience.",,2017,https://www.openuphub.eu/component/k2/item/601-pluto-fly-by,asdf126,,0
5,Ice Bucket Challenge,1,2,1,Video,Video Sharing,This will describe the project/tool,,2017,https://en.wikipedia.org/wiki/Ice_Bucket_Challenge,asdf127,,0
6,Gut Project,1,2,1,Video,"Science Slam, TV, Video Sharing",This will describe the project/tool,,2017,https://www.openuphub.eu/component/k2/item/605-gut-giulia-enders,asdf128,,0
7,Project Soha,1,0,1,Collaborative Research,Collaboration Platform,This will describe the project/tool,,2017,https://www.openuphub.eu/component/k2/item/606-project-soha,asdf129,,0
8,TED,1,2,1,Video,Video Sharing,This will describe the project/tool,,2017,https://www.ted.com/,asdf130,,0
9,CollabLab,1,2,1,Video,Video Sharing,This will describe the project/tool,,2017,http://www.collab-lab.co.uk/,asdf131,,0
10,Vsauce,1,2,1,Video,Video Sharing,This will describe the project/tool,,2017,http://www.vsauce.com/#/,asdf132,,0
11,WhoLoDancE,1,1.71,0.29,Educational Materials,Educational Materials,This will describe the project/tool,,2017,http://www.wholodance.eu/,asdf133,,0
12,Exomars,1,2,1,Video,Video Sharing,This will describe the project/tool,,2017,http://exploration.esa.int/mars/,asdf134,,0
13,CERN LHC Experiments,1,2,1,Video,"Video Sharing, Code Repository, Data Repository",This will describe the project/tool,,2017,https://home.cern/topics/large-hadron-collider,asdf135,,0
14,101 Innovations in scholarly communication,1,1.71,1.71,Social Media,Twitter,This will describe the project/tool,,2017,https://www.openuphub.eu/component/k2/item/610-101-innovations-in-scholarly-communications,asdf136,,0
15,Galaxy Zoo,1,1,2,Games,Games,This will describe the project/tool,,2017,https://www.openuphub.eu/component/k2/item/602-galaxy-zoo,asdf137,,0
16,Foldit!,1,1,2,Games,Games,This will describe the project/tool,,2017,https://fold.it/portal/,asdf138,,0
17,The Big Bell Test,1,1,2,Games,Games,This will describe the project/tool,,2017,test,asdf139,,0
18,ScienceAtHome,1,1,2,Games,Games,This will describe the project/tool,,2017,https://www.openuphub.eu/component/k2/item/607-scienceathome,asdf140,,0
19,Human Brain Project,1,0.29,1.71,Website,Website,This will describe the project/tool,,2017,https://www.openuphub.eu/component/k2/item/604-brain-projects-think-big,asdf141,,0
20,Homer Multitext,1,0.29,1.71,Website,Website,This will describe the project/tool,,2017,https://www.openuphub.eu/component/k2/item/609-homer-multitext-project,asdf142,,0
21,Pelagios,1,0.29,1.71,Website,Website,This will describe the project/tool,,2017,http://commons.pelagios.org/,asdf143,,0
22,Synthesys III,1,0,1,Collaborative Research,Collaboration Platform,This will describe the project/tool,,2017,http://www.synthesys.info/,asdf144,,0
25,EU BON,1,0.29,0.29,Code/Data/Notes Repositories,Data Repository,This will describe the project/tool,,2017,http://www.eubon.eu/,asdf147,,0
26,Open Source Malaria,1,1,0,Citizen-Science,Citizen-Science,This will describe the project/tool,,2017,http://opensourcemalaria.org/,asdf148,,0
27,Open Innovation in Science,1,1,0,Citizen-Science,Citizen-Science,This will describe the project/tool,,2017,http://www.ois.lbg.ac.at/home.html,asdf149,,0
28,Personal Genome Project,1,1,0,Citizen-Science,Citizen-Science,This will describe the project/tool,,2017,http://www.personalgenomes.org/,asdf150,,0
29,Wildlife of our Homes,1,1,0,Citizen-Science,Citizen-Science,This will describe the project/tool,,2017,http://robdunnlab.com/projects/wild-life-of-our-homes/,asdf151,,0
30,Bauhinia Genome,1,1,0,Citizen-Science,Citizen-Science,This will describe the project/tool,,2017,http://bauhiniagenome.hk/,asdf152,,0
31,Open Notebooks Science,1,0.29,0.29,Code/Data/Notes Repositories,Note Repository,This will describe the project/tool,,2017,http://onsnetwork.org/,asdf153,,0
33,Frontiers for young Minds,1,1.71,0.29,Educational Materials,Educational Materials,This will describe the project/tool,,2017,https://kids.frontiersin.org/,asdf155,,0
34,Transcribe Bentham,1,0,1,Collaborative Research,Collaboration Platform,This will describe the project/tool,,2017,https://www.openuphub.eu/component/k2/item/608-transcribe-bentham,asdf156,,0
