id,title,readers,x,y,area,paper_abstract,published_in,year,url,file_hash,authors,oa_state
0,Polymath Project,0,1.0,0.0,Video,"<h5>What?</h5>Polymath projects, also known as massively collaborative online mathematics, represents a form of open Internet collaboration aimed towards a major mathematical goal, usually to solve yet unsolved mathematical problems.<h5>Why?</h5>Solved problems that traditional research couldn't",,,https://www.openuphub.eu/component/k2/item/603-polymath-project,8851404223466301463,,0
1,Numberphile,0,1.0,0.0,Video,<h5>What?</h5>Explains mathematical concepts and theory in short video sequences that are understandable by the general public<h5>Why?</h5>Explains mathematical concepts and theory in short video sequences that are understandable by the general public,,,http://www.numberphile.com/,6859964085103853901,,0
2,Minute Physics,0,1.0,0.0,Video,<h5>What?</h5>Youtube channels explaining scientific content in a simplified and entertaining manner<h5>Why?</h5>This way to communicate science is very successful and enables kids and other interested audiences to understand complex contents in a pleasantful way,,,http://www.minutephysics.com/,8474897503189044850,,0
3,Pluto Fly-by,0,1.0,0.0,Video,"<h5>What?</h5>NASA's New Horizons probe has visited a place never before visited by a robotic probe from Earth: Pluto. In July 2015, the spacecraft completed a nearly-decade-long journey to fly by Pluto and revealed humanity's first close-up look at the distant dwarf planet (Dwarf planet). The goal of the dissemination was to communicate results of the mission and facts about Pluto to the broader audience.",,,https://www.openuphub.eu/component/k2/item/601-pluto-fly-by,505403530813898396,,0
5,Ice Bucket Challenge,0,1.0,0.0,Video,<h5>What?</h5>An awareness campaign that went viral,,,https://en.wikipedia.org/wiki/Ice_Bucket_Challenge,-6328241948770436402,,0
6,Gut Project,0,1.0,0.0,Video,"<h5>What?</h5>The Gut project is a one-person project founded by Giulia Enders, with the aim to explain the functionality of a very complex organ, the gut, in a basic language that is understandable for the general audience. The project also wants to initiate discussions around this topic, which are usually avoided by people. As a PhD student in Medicine, Enders was fascinated with the functioning of the gut. So she decided to investigate and study this complex organ, the importance of which is usually underestimated. After her success in several science slams in 2012, she got an offer to write a book about the gut. Her book (published in March 2014) was a huge success, because of the way she explains the complex process of digestion. She presents facts in a simple way, understandable for the broader audience, and she uses a lot of humour at the same time.",,,https://www.openuphub.eu/component/k2/item/605-gut-giulia-enders,492364588184262686,,0
10,Project Soha,0,0.7071034975290827,-0.7071100648287638,Collaborative Research,"<h5>What?</h5>The project ""Open Science in Haiti and Francophone Africa (SOHA) "" is part of the OCSD Network funded by the International Development Research Centre (IDRC). The project consists of action re-search, entitled “Open science as a collective tool for development of the power to act and of cognitive justice in Haiti and Francophone Africa: towards a roadmap”. The objective is twofold: to understand the obstacles to the emergence of an open science culture in Francophone Africa and Haiti while creat-ing a favourable environment to achieve the goal of an open science culture.",,,https://www.openuphub.eu/component/k2/item/606-project-soha,4611641199760933278,,0
11,TED,0,1.0,0.0,Video,"<h5>What?</h5>nonprofit devoted to spreading ideas, usually in the form of short, powerful talks (18 minutes or less)",,,https://www.ted.com/,2029321268934761759,,0
12,CollabLab,0,1.0,0.0,Video,"<h5>What?</h5>Collab Lab brings science and film together. We help scientists make exciting public engagement videos and YouTubers talk about science with confidence.

We make videos and run video-making workshops.",,,http://www.collab-lab.co.uk/,-8853975811873815969,,0
13,Vsauce,0,1.0,0.0,Video,<h5>What?</h5>Explains scientific content & responds to questions on how things of this world work,,,http://www.vsauce.com/#/,-2974161134828897994,,0
14,WhoLoDancE,0,-0.9999999999964793,2.65358979335273e-06,Educational Materials,"<h5>What?</h5>Wholodance aims at developing and applying breakthrough technologies to Dance Learning in order to achieve results that will have relevant impacts on numerous targets including, but not limited to, the dance practitioners ranging from Researchers and Professionals to Dance Students and the Interested Public.",,,http://www.wholodance.eu/,-3386721236856276213,,0
15,Exomars,0,1.0,0.0,Video,<h5>What?</h5>Space mission for robotic exploration of Mars by ESA.,,,http://exploration.esa.int/mars/,5321704309039241285,,0
16,CERN LHC Experiments,0,-3.9803846904673455e-06,-0.9999999999920782,Repositories,<h5>What?</h5>CERN has released the data from its LHC experiments and built a number of tools to explore the data both for researchers and students,,,https://home.cern/topics/large-hadron-collider,-2472337661119092539,,0
19,101 Innovations in scholarly communication,0,1.3267948966775328e-06,0.9999999999991198,Social Media,"<h5>What?</h5>101 Innovations in scholarly communication is a project that aims to analyse in detail research life-cycle phases and innovative tools that are used by researchers in each of the phases. Specifically, the purpose of the project was to investigate to what extent researchers are using the innovative communi-cation tools compared to traditional ones and what impact these tools have on the research workflow.<h5>Why?</h5>Dissemination activities range from the distribution of the google spreadsheet - tools database, global survey (i.e., was open from May 10, 2015 until February 10, 2016), interactive visualizations of survey results, collaboration with 108 partners (using their communication channels and mailing lists) to public blogs, social media, talks, webcasts and podcasts. One of the most interesting outputs is a snapshot of 101 tools visualized in a circle aligned to six research-lifecycle phases. To the dissemination outputs count also datasets and scripts, as well as open peer reviewed scientific article and poster.",,,https://www.openuphub.eu/component/k2/item/610-101-innovations-in-scholarly-communications,-8861861173942515111,,0
20,Galaxy Zoo,0,0.7071072502792263,0.7071063120935576,Games,"<h5>What?</h5>Galaxy Zoo is a well-known online citizen science project (Sauermann and Franzoni 2014), where the general public is directly involved in research activities. It is now available on the platform Zooniverse.org that is currently the largest aggregator of crowd science projects in various disciplines. Galaxy Zoo is a project which invites people to assist in the morphological classification of large numbers of galaxies through a website. Citizens classifying galaxies help scientists to understand how galaxies evolved over time and test theories about the nature of the Universe. The purpose of dissemination is twofold: sharing research data in the format of galaxy images and involving citizens in the analysis of these scientific data.",,,https://www.openuphub.eu/component/k2/item/602-galaxy-zoo,5705465262473484591,,0
21,Foldit!,0,0.7071072502792263,0.7071063120935576,Games,<h5>What?</h5>Citizen science project that uses a game for research and dissemination,,,https://fold.it/portal/,-983002540406761704,,0
22,The Big Bell Test,0,0.7071072502792263,0.7071063120935576,Games,<h5>What?</h5>The BIG Bell Test (BBT) is a worldwide project to bring human unpredictability (randomness) to cutting-edge physics experiments.,,,test,7488173327708196822,,0
23,ScienceAtHome,0,0.7071072502792263,0.7071063120935576,Games,"<h5>What?</h5>ScienceAtHome is an online platform for collaborative volunteer research, where people are invited to play scientific games, have fun and contribute to real discoveries on quantum physics, and human thinking. The team behind the project consists of scientists, game developers, designers and visual artists based at Aarhus University of Denmark and creates scientific games, with the aim to revolutionise scientific research and teaching by game-play. The goal of the dissemination is to engage citizens to the project objectives, hence to create a community around the games developed, to maximise the input of results gathered from users’ gameplay.",,,https://www.openuphub.eu/component/k2/item/607-scienceathome,-6669874520298267954,,0
24,Human Brain Project,0,-0.7071091266468291,-0.707104435718486,Website,"<h5>What?</h5>The article “Brain Projects Think Big” was published October 13, 2013, the early stages of the Human Brain Project . The goal was to provide a younger audience with an understanding of the Human Brain Project. The project is primarily a systematic cataloguing of everything that is known about the brain, as well as, the development of ingenious experimental and theoretical methods to probe the brain, and put together all learnings into a computer model of the brain.",,,https://www.openuphub.eu/component/k2/item/604-brain-projects-think-big,670102049479918661,,0
